connection	op	table	params
virtual-176	MERGE	txn1	126	126	"7"	"7"
virtual-180	SELECT	txn1	130
virtual-180	MERGE	txn1	130	130	"5"	"5"
virtual-176	MERGE	txn1	126	126	"8"	"8"
virtual-179	MERGE	txn2	127	127	"3"	"3"
virtual-181	SELECT	txn1	130
virtual-178	SELECT	txn1	130
virtual-181	SELECT	txn2	129
virtual-176	SELECT	txn1	126
virtual-182	MERGE	txn1	130	130	"6"	"6"
virtual-178	SELECT	txn1	130
virtual-184	SELECT	txn1	130
virtual-183	SELECT	txn1	130
virtual-182	MERGE	txn2	129	129	"8"	"8"
virtual-178	MERGE	txn1	130	130	"4"	"4"
virtual-185	MERGE	txn2	127	127	"4"	"4"
virtual-184	SELECT	txn1	131
virtual-183	SELECT	txn1	130
virtual-182	SELECT	txn1	130
virtual-186	SELECT	txn1	131
virtual-184	MERGE	txn1	130	130	"7"	"7"
virtual-188	SELECT	txn1	130
virtual-187	SELECT	txn1	130
virtual-186	SELECT	txn1	130
virtual-182	SELECT	txn2	129
virtual-188	MERGE	txn0	132	132	"1"	"1"
virtual-189	SELECT	txn1	130
virtual-191	MERGE	txn2	127	127	"6"	"6"
virtual-189	MERGE	txn1	130	130	"8"	"8"
virtual-190	SELECT	txn1	131
virtual-191	SELECT	txn1	131
virtual-190	MERGE	txn0	132	132	"2"	"2"
virtual-186	SELECT	txn1	130
virtual-190	SELECT	txn1	131
virtual-193	MERGE	txn1	133	133	"3"	"3"
virtual-192	SELECT	txn1	130
virtual-188	MERGE	txn2	127	127	"5"	"5"
virtual-193	SELECT	txn1	131
virtual-194	SELECT	txn1	131
virtual-190	SELECT	txn1	130
virtual-196	SELECT	txn1	133
virtual-196	SELECT	txn1	133
virtual-194	SELECT	txn1	131
virtual-192	MERGE	txn0	132	132	"3"	"3"
virtual-195	MERGE	txn1	131	131	"1"	"1"
virtual-196	SELECT	txn1	133
virtual-193	SELECT	txn1	131
virtual-198	MERGE	txn0	132	132	"4"	"4"
virtual-197	MERGE	txn2	127	127	"7"	"7"
virtual-196	SELECT	txn1	131
virtual-198	MERGE	txn1	133	133	"6"	"6"
virtual-195	SELECT	txn1	131
virtual-195	MERGE	txn1	131	131	"2"	"2"
virtual-199	MERGE	txn1	131	131	"3"	"3"
virtual-199	MERGE	txn0	132	132	"5"	"5"
virtual-198	SELECT	txn1	133
virtual-197	MERGE	txn1	133	133	"4"	"4"
virtual-198	SELECT	txn1	133
virtual-200	MERGE	txn1	133	133	"7"	"7"
virtual-201	SELECT	txn0	132
virtual-195	SELECT	txn1	133
virtual-204	MERGE	txn1	133	133	"8"	"8"
virtual-203	MERGE	txn1	131	131	"4"	"4"
virtual-202	SELECT	txn1	133
virtual-207	MERGE	txn1	131	131	"6"	"6"
virtual-209	SELECT	txn0	132
virtual-207	SELECT	txn1	133
virtual-205	MERGE	txn1	131	131	"5"	"5"
virtual-207	SELECT	txn0	132
virtual-209	MERGE	txn1	131	131	"7"	"7"
virtual-206	SELECT	txn1	133
virtual-208	SELECT	txn1	131
virtual-208	SELECT	txn1	133
virtual-206	SELECT	txn2	127
virtual-210	MERGE	txn1	131	131	"8"	"8"
virtual-211	SELECT	txn0	134
virtual-212	SELECT	txn0	134
virtual-214	MERGE	txn0	134	134	"2"	"2"
virtual-211	SELECT	txn0	134
virtual-212	SELECT	txn2	127
virtual-213	SELECT	txn1	123
virtual-210	SELECT	txn0	132
virtual-214	MERGE	txn2	135	135	"1"	"1"
virtual-211	MERGE	txn0	134	134	"1"	"1"
virtual-214	SELECT	txn2	127
virtual-213	SELECT	txn2	135
virtual-212	SELECT	txn0	134
virtual-215	MERGE	txn2	135	135	"2"	"2"
virtual-216	SELECT	txn0	134
virtual-216	SELECT	txn0	134
virtual-212	MERGE	txn0	132	132	"7"	"7"
virtual-217	MERGE	txn0	134	134	"3"	"3"
virtual-218	SELECT	txn2	135
virtual-219	SELECT	txn0	134
virtual-217	SELECT	txn0	134
virtual-215	SELECT	txn0	134
virtual-220	SELECT	txn1	136
virtual-218	MERGE	txn0	132	132	"8"	"8"
virtual-215	MERGE	txn2	135	135	"3"	"3"
virtual-219	MERGE	txn2	135	135	"6"	"6"
virtual-217	MERGE	txn2	135	135	"4"	"4"
virtual-220	MERGE	txn2	135	135	"7"	"7"
virtual-221	SELECT	txn0	134
virtual-223	MERGE	txn1	136	136	"1"	"1"
virtual-224	SELECT	txn2	127
virtual-222	SELECT	txn2	135
virtual-222	MERGE	txn0	134	134	"5"	"5"
virtual-225	MERGE	txn0	134	134	"6"	"6"
virtual-223	SELECT	txn2	135
virtual-221	SELECT	txn0	134
virtual-226	SELECT	txn0	134
virtual-226	SELECT	txn2	127
virtual-230	MERGE	txn1	136	136	"2"	"2"
virtual-227	SELECT	txn0	137
virtual-226	MERGE	txn0	134	134	"7"	"7"
virtual-229	MERGE	txn2	138	138	"1"	"1"
virtual-228	SELECT	txn0	137
virtual-230	SELECT	txn2	127
virtual-226	SELECT	txn1	136
virtual-229	MERGE	txn2	138	138	"2"	"2"
virtual-231	SELECT	txn2	127
virtual-228	MERGE	txn0	137	137	"1"	"1"
virtual-232	MERGE	txn2	138	138	"3"	"3"
virtual-234	MERGE	txn2	138	138	"4"	"4"
virtual-233	SELECT	txn0	137
virtual-234	SELECT	txn0	137
virtual-228	MERGE	txn0	134	134	"8"	"8"
virtual-235	SELECT	txn2	138
virtual-233	SELECT	txn2	127
virtual-235	SELECT	txn2	138
virtual-231	MERGE	txn0	137	137	"3"	"3"
virtual-233	MERGE	txn1	136	136	"3"	"3"
virtual-237	SELECT	txn2	127
