connection	op	table	params
virtual-710	MERGE	txn0	207	207	"1"	"1"
virtual-716	SELECT	txn0	207
virtual-714	MERGE	txn0	207	207	"4"	"4"
virtual-715	SELECT	txn0	208
virtual-715	SELECT	txn0	194
virtual-718	MERGE	txn2	209	209	"1"	"1"
virtual-717	SELECT	txn0	207
virtual-716	MERGE	txn0	207	207	"5"	"5"
virtual-719	SELECT	txn2	209
virtual-714	MERGE	txn2	202	202	"4"	"4"
virtual-717	MERGE	txn0	207	207	"7"	"7"
virtual-720	SELECT	txn0	208
virtual-722	MERGE	txn0	208	208	"2"	"2"
virtual-718	SELECT	txn2	209
virtual-718	MERGE	txn2	209	209	"2"	"2"
virtual-724	MERGE	txn2	209	209	"3"	"3"
virtual-721	SELECT	txn2	202
virtual-723	MERGE	txn0	208	208	"3"	"3"
virtual-714	SELECT	txn0	207
virtual-725	SELECT	txn0	194
virtual-724	SELECT	txn0	208
virtual-723	MERGE	txn1	204	204	"1"	"1"
virtual-726	MERGE	txn0	208	208	"5"	"5"
virtual-730	SELECT	txn2	209
virtual-729	SELECT	txn1	204
virtual-727	MERGE	txn0	208	208	"6"	"6"
virtual-723	MERGE	txn0	208	208	"4"	"4"
virtual-728	MERGE	txn0	208	208	"8"	"8"
virtual-731	MERGE	txn2	202	202	"5"	"5"
virtual-730	SELECT	txn2	209
virtual-729	SELECT	txn2	209
virtual-733	SELECT	txn0	208
virtual-723	SELECT	txn2	209
virtual-734	SELECT	txn0	194
virtual-735	MERGE	txn2	209	209	"6"	"6"
virtual-729	MERGE	txn2	209	209	"5"	"5"
virtual-732	SELECT	txn0	194
virtual-736	SELECT	txn0	208
virtual-732	SELECT	txn2	209
virtual-733	MERGE	txn2	202	202	"6"	"6"
virtual-732	MERGE	txn1	204	204	"2"	"2"
virtual-738	SELECT	txn2	209
virtual-740	MERGE	txn2	202	202	"7"	"7"
virtual-739	MERGE	txn2	209	209	"7"	"7"
virtual-740	SELECT	txn2	210
virtual-737	SELECT	txn0	208
virtual-737	SELECT	txn0	208
virtual-742	MERGE	txn2	210	210	"1"	"1"
virtual-737	SELECT	txn2	209
virtual-741	SELECT	txn0	208
virtual-744	SELECT	txn2	210
virtual-743	SELECT	txn2	210
virtual-739	SELECT	txn0	194
virtual-746	SELECT	txn2	210
virtual-741	SELECT	txn2	210
virtual-744	SELECT	txn2	210
virtual-741	SELECT	txn2	202
virtual-745	SELECT	txn0	211
virtual-739	MERGE	txn2	209	209	"8"	"8"
virtual-741	SELECT	txn2	210
virtual-747	MERGE	txn0	194	194	"8"	"8"
virtual-748	SELECT	txn2	210
virtual-745	MERGE	txn2	210	210	"3"	"3"
virtual-748	SELECT	txn0	194
virtual-739	SELECT	txn2	210
virtual-744	SELECT	txn2	202
virtual-744	MERGE	txn2	210	210	"2"	"2"
virtual-749	SELECT	txn1	204
virtual-747	MERGE	txn2	210	210	"4"	"4"
virtual-753	MERGE	txn2	202	202	"8"	"8"
virtual-750	MERGE	txn2	210	210	"6"	"6"
virtual-749	SELECT	txn2	210
virtual-752	MERGE	txn2	210	210	"7"	"7"
virtual-750	SELECT	txn2	202
virtual-751	SELECT	txn0	211
virtual-750	SELECT	txn1	204
virtual-753	MERGE	txn2	210	210	"8"	"8"
virtual-757	MERGE	txn0	213	213	"1"	"1"
virtual-754	MERGE	txn0	211	211	"1"	"1"
virtual-755	SELECT	txn2	212
virtual-751	SELECT	txn0	166
virtual-756	SELECT	txn0	211
virtual-755	SELECT	txn2	212
virtual-755	SELECT	txn2	212
virtual-756	MERGE	txn2	212	212	"2"	"2"
virtual-758	SELECT	txn0	211
virtual-754	SELECT	txn2	202
virtual-751	SELECT	txn2	210
virtual-760	MERGE	txn0	214	214	"2"	"2"
virtual-761	SELECT	txn1	204
virtual-759	MERGE	txn1	204	204	"3"	"3"
virtual-755	SELECT	txn2	202
virtual-761	MERGE	txn2	212	212	"4"	"4"
virtual-754	SELECT	txn2	212
virtual-759	MERGE	txn0	214	214	"1"	"1"
virtual-762	SELECT	txn2	212
virtual-762	MERGE	txn2	212	212	"6"	"6"
virtual-760	MERGE	txn2	212	212	"3"	"3"
virtual-763	SELECT	txn2	212
virtual-764	MERGE	txn0	211	211	"2"	"2"
virtual-764	MERGE	txn2	212	212	"8"	"8"
virtual-761	MERGE	txn2	212	212	"5"	"5"
virtual-765	SELECT	txn2	212
virtual-754	MERGE	txn2	212	212	"1"	"1"
virtual-763	SELECT	txn2	212
virtual-770	SELECT	txn2	215
virtual-766	SELECT	txn0	214
virtual-767	SELECT	txn0	214
virtual-770	SELECT	txn0	214
virtual-768	SELECT	txn0	213
virtual-769	SELECT	txn2	215
virtual-770	SELECT	txn0	211
virtual-769	SELECT	txn2	215
virtual-769	MERGE	txn2	215	215	"1"	"1"
virtual-766	SELECT	txn0	211
virtual-770	SELECT	txn0	211
virtual-766	SELECT	txn0	211
virtual-767	SELECT	txn2	215
virtual-771	MERGE	txn0	213	213	"3"	"3"
virtual-771	SELECT	txn0	211
virtual-769	MERGE	txn2	215	215	"2"	"2"
virtual-766	SELECT	txn1	2
virtual-772	SELECT	txn0	211
virtual-774	SELECT	txn0	214
virtual-773	SELECT	txn2	215
virtual-772	MERGE	txn2	215	215	"3"	"3"
virtual-775	SELECT	txn0	214
virtual-773	MERGE	txn0	211	211	"3"	"3"
virtual-776	MERGE	txn2	215	215	"5"	"5"
virtual-774	SELECT	txn0	213
virtual-777	MERGE	txn0	211	211	"5"	"5"
virtual-775	MERGE	txn0	211	211	"4"	"4"
virtual-780	SELECT	txn0	211
virtual-774	MERGE	txn2	215	215	"4"	"4"
virtual-778	MERGE	txn2	215	215	"7"	"7"
virtual-776	SELECT	txn0	213
virtual-781	SELECT	txn0	211
virtual-781	MERGE	txn0	211	211	"6"	"6"
virtual-779	MERGE	txn0	0	0	"2"	"2"
virtual-784	SELECT	txn0	211
virtual-776	MERGE	txn2	215	215	"6"	"6"
virtual-782	SELECT	txn0	166
virtual-786	SELECT	txn2	215
virtual-783	SELECT	txn2	215
virtual-784	MERGE	txn0	211	211	"7"	"7"
virtual-783	SELECT	txn2	215
virtual-785	SELECT	txn0	211
virtual-784	MERGE	txn2	185	185	"3"	"3"
virtual-782	MERGE	txn0	213	213	"4"	"4"
virtual-782	MERGE	txn0	213	213	"5"	"5"
virtual-786	MERGE	txn2	215	215	"8"	"8"
virtual-787	MERGE	txn1	216	216	"1"	"1"
virtual-784	SELECT	txn0	214
virtual-785	SELECT	txn2	215
virtual-782	SELECT	txn2	215
virtual-785	MERGE	txn0	211	211	"8"	"8"
virtual-788	SELECT	txn2	215
virtual-788	SELECT	txn2	215
virtual-787	MERGE	txn0	214	214	"3"	"3"
virtual-789	SELECT	txn0	211
virtual-789	MERGE	txn2	217	217	"1"	"1"
virtual-790	MERGE	txn1	204	204	"5"	"5"
virtual-788	SELECT	txn0	211
virtual-790	MERGE	txn0	214	214	"4"	"4"
virtual-787	MERGE	txn0	213	213	"6"	"6"
virtual-789	MERGE	txn0	213	213	"7"	"7"
virtual-791	MERGE	txn2	217	217	"2"	"2"
virtual-788	SELECT	txn0	211
virtual-791	MERGE	txn2	217	217	"3"	"3"
virtual-791	SELECT	txn0	211
virtual-793	MERGE	txn2	217	217	"5"	"5"
virtual-793	MERGE	txn2	217	217	"6"	"6"
virtual-794	SELECT	txn0	213
virtual-792	SELECT	txn0	213
virtual-797	MERGE	txn2	217	217	"8"	"8"
virtual-795	SELECT	txn0	218
virtual-797	MERGE	txn2	219	219	"1"	"1"
virtual-795	SELECT	txn0	218
virtual-796	SELECT	txn2	217
virtual-795	MERGE	txn2	217	217	"7"	"7"
virtual-792	SELECT	txn2	217
virtual-799	MERGE	txn2	219	219	"2"	"2"
virtual-798	MERGE	txn0	214	214	"6"	"6"
virtual-796	SELECT	txn1	216
virtual-797	MERGE	txn0	214	214	"5"	"5"
virtual-792	MERGE	txn2	217	217	"4"	"4"
virtual-796	SELECT	txn2	217
virtual-800	MERGE	txn0	218	218	"2"	"2"
virtual-799	MERGE	txn0	218	218	"1"	"1"
virtual-802	MERGE	txn2	219	219	"4"	"4"
virtual-799	MERGE	txn2	219	219	"3"	"3"
virtual-800	SELECT	txn2	219
virtual-802	MERGE	txn0	218	218	"3"	"3"
virtual-803	SELECT	txn2	219
virtual-805	SELECT	txn2	219
virtual-801	SELECT	txn2	219
virtual-804	SELECT	txn2	219
virtual-803	MERGE	txn2	219	219	"5"	"5"
virtual-806	SELECT	txn2	219
virtual-805	SELECT	txn0	218
virtual-807	SELECT	txn2	219
virtual-804	SELECT	txn0	218
virtual-809	SELECT	txn0	218
virtual-810	SELECT	txn0	218
virtual-810	SELECT	txn2	219
virtual-808	SELECT	txn2	219
virtual-812	SELECT	txn0	218
virtual-809	SELECT	txn2	219
virtual-809	MERGE	txn1	204	204	"6"	"6"
virtual-813	SELECT	txn2	219
virtual-811	SELECT	txn0	218
virtual-814	MERGE	txn0	213	213	"8"	"8"
virtual-812	SELECT	txn0	213
virtual-808	MERGE	txn0	218	218	"5"	"5"
virtual-811	MERGE	txn0	218	218	"6"	"6"
virtual-815	MERGE	txn0	218	218	"7"	"7"
virtual-813	SELECT	txn2	219
virtual-814	SELECT	txn0	213
virtual-816	SELECT	txn0	214
virtual-808	SELECT	txn0	214
virtual-814	SELECT	txn1	220
virtual-816	MERGE	txn0	218	218	"8"	"8"
virtual-813	MERGE	txn2	219	219	"6"	"6"
virtual-818	MERGE	txn1	216	216	"2"	"2"
virtual-817	MERGE	txn2	219	219	"8"	"8"
virtual-821	MERGE	txn1	223	223	"1"	"1"
virtual-820	MERGE	txn1	222	222	"1"	"1"
virtual-820	MERGE	txn1	222	222	"2"	"2"
virtual-819	SELECT	txn2	219
virtual-818	SELECT	txn1	204
virtual-822	MERGE	txn1	222	222	"4"	"4"
virtual-817	SELECT	txn0	213
virtual-821	SELECT	txn1	222
virtual-820	MERGE	txn1	222	222	"3"	"3"
virtual-818	SELECT	txn2	219
virtual-823	SELECT	txn1	223
virtual-822	MERGE	txn1	222	222	"5"	"5"
virtual-824	SELECT	txn1	222
virtual-826	SELECT	txn1	222
virtual-823	SELECT	txn1	223
virtual-825	SELECT	txn1	223
virtual-822	MERGE	txn2	221	221	"1"	"1"
virtual-823	MERGE	txn1	222	222	"6"	"6"
virtual-823	SELECT	txn1	223
virtual-826	MERGE	txn1	223	223	"2"	"2"
virtual-824	SELECT	txn1	223
virtual-824	SELECT	txn1	222
virtual-827	SELECT	txn1	222
virtual-822	SELECT	txn1	222
virtual-824	MERGE	txn1	216	216	"3"	"3"
virtual-826	MERGE	txn1	223	223	"3"	"3"
virtual-828	MERGE	txn2	221	221	"2"	"2"
virtual-831	MERGE	txn1	222	222	"8"	"8"
virtual-831	SELECT	txn1	222
virtual-827	SELECT	txn2	221
virtual-829	SELECT	txn0	214
virtual-831	SELECT	txn1	223
virtual-828	MERGE	txn1	223	223	"4"	"4"
virtual-828	MERGE	txn1	222	222	"7"	"7"
virtual-830	SELECT	txn1	222
virtual-830	SELECT	txn0	214
virtual-827	SELECT	txn0	214
virtual-832	SELECT	txn1	222
virtual-829	SELECT	txn1	223
virtual-830	SELECT	txn1	223
virtual-833	MERGE	txn1	204	204	"7"	"7"
virtual-830	SELECT	txn0	214
virtual-835	SELECT	txn0	224
virtual-827	SELECT	txn1	223
virtual-834	SELECT	txn1	223
virtual-829	SELECT	txn1	223
virtual-839	SELECT	txn0	224
virtual-836	SELECT	txn0	224
virtual-839	MERGE	txn1	204	204	"8"	"8"
virtual-834	SELECT	txn1	222
virtual-837	SELECT	txn0	224
virtual-838	MERGE	txn0	224	224	"2"	"2"
virtual-836	MERGE	txn1	223	223	"5"	"5"
virtual-839	MERGE	txn0	224	224	"3"	"3"
virtual-834	SELECT	txn0	214
virtual-837	SELECT	txn0	214
virtual-842	MERGE	txn0	224	224	"6"	"6"
virtual-842	SELECT	txn0	224
virtual-841	SELECT	txn1	223
virtual-837	MERGE	txn1	223	223	"6"	"6"
virtual-843	MERGE	txn0	224	224	"8"	"8"
virtual-840	MERGE	txn0	224	224	"5"	"5"
virtual-842	MERGE	txn0	224	224	"7"	"7"
virtual-845	SELECT	txn0	224
virtual-847	SELECT	txn0	225
virtual-848	SELECT	txn2	221
virtual-844	SELECT	txn1	223
virtual-846	SELECT	txn0	214
virtual-847	MERGE	txn0	225	225	"1"	"1"
virtual-849	MERGE	txn0	225	225	"4"	"4"
virtual-849	SELECT	txn0	225
virtual-846	SELECT	txn0	224
virtual-850	SELECT	txn0	225
virtual-848	MERGE	txn0	225	225	"2"	"2"
virtual-844	SELECT	txn0	214
virtual-846	SELECT	txn1	204
virtual-853	SELECT	txn1	204
virtual-851	MERGE	txn1	216	216	"4"	"4"
virtual-851	SELECT	txn0	225
virtual-850	MERGE	txn0	214	214	"7"	"7"
virtual-854	MERGE	txn0	214	214	"8"	"8"
virtual-852	MERGE	txn0	225	225	"7"	"7"
virtual-855	SELECT	txn0	225
virtual-852	MERGE	txn1	223	223	"8"	"8"
virtual-852	SELECT	txn1	216
virtual-856	MERGE	txn1	220	220	"1"	"1"
virtual-851	MERGE	txn0	225	225	"6"	"6"
virtual-856	SELECT	txn2	221
virtual-850	MERGE	txn0	225	225	"5"	"5"
virtual-855	SELECT	txn1	223
virtual-856	SELECT	txn2	221
virtual-852	SELECT	txn1	223
virtual-857	MERGE	txn1	226	226	"1"	"1"
virtual-860	MERGE	txn2	227	227	"1"	"1"
virtual-858	SELECT	txn1	226
virtual-859	SELECT	txn2	227
virtual-855	SELECT	txn1	223
virtual-857	SELECT	txn1	226
virtual-861	MERGE	txn1	226	226	"2"	"2"
virtual-858	SELECT	txn2	227
virtual-862	SELECT	txn1	204
virtual-863	SELECT	txn2	227
virtual-866	MERGE	txn1	226	226	"6"	"6"
virtual-867	SELECT	txn2	227
virtual-865	SELECT	txn1	226
virtual-864	MERGE	txn2	227	227	"6"	"6"
virtual-865	SELECT	txn1	226
virtual-868	SELECT	txn2	227
virtual-862	MERGE	txn2	227	227	"3"	"3"
virtual-867	MERGE	txn1	226	226	"7"	"7"
virtual-865	MERGE	txn1	226	226	"4"	"4"
virtual-871	SELECT	txn1	204
virtual-871	SELECT	txn0	229
virtual-871	MERGE	txn0	229	229	"2"	"2"
virtual-869	SELECT	txn2	227
virtual-864	MERGE	txn1	226	226	"3"	"3"
virtual-872	SELECT	txn0	229
virtual-873	MERGE	txn1	226	226	"8"	"8"
virtual-870	MERGE	txn0	229	229	"1"	"1"
virtual-871	MERGE	txn0	229	229	"3"	"3"
virtual-869	SELECT	txn1	226
virtual-872	SELECT	txn0	229
virtual-869	MERGE	txn2	227	227	"8"	"8"
virtual-874	SELECT	txn0	229
virtual-873	MERGE	txn0	229	229	"5"	"5"
virtual-869	MERGE	txn1	228	228	"1"	"1"
virtual-875	SELECT	txn0	229
virtual-872	SELECT	txn0	229
virtual-874	MERGE	txn2	230	230	"1"	"1"
virtual-875	SELECT	txn0	229
virtual-876	SELECT	txn2	230
virtual-878	MERGE	txn0	229	229	"7"	"7"
virtual-875	MERGE	txn0	229	229	"6"	"6"
virtual-877	MERGE	txn2	230	230	"2"	"2"
virtual-872	MERGE	txn0	229	229	"4"	"4"
virtual-874	SELECT	txn1	228
virtual-878	MERGE	txn0	229	229	"8"	"8"
virtual-879	SELECT	txn2	230
virtual-880	MERGE	txn2	221	221	"5"	"5"
virtual-877	SELECT	txn1	228
virtual-878	SELECT	txn0	229
virtual-882	SELECT	txn2	231
virtual-878	SELECT	txn1	228
virtual-880	MERGE	txn2	230	230	"3"	"3"
virtual-877	SELECT	txn0	229
virtual-881	SELECT	txn0	229
virtual-882	MERGE	txn2	230	230	"4"	"4"
virtual-880	SELECT	txn0	229
virtual-883	MERGE	txn2	230	230	"5"	"5"
virtual-877	SELECT	txn2	221
virtual-886	MERGE	txn2	231	231	"2"	"2"
virtual-881	MERGE	txn1	228	228	"3"	"3"
virtual-880	SELECT	txn1	228
virtual-884	MERGE	txn2	231	231	"1"	"1"
virtual-886	MERGE	txn2	230	230	"7"	"7"
virtual-887	MERGE	txn2	230	230	"8"	"8"
virtual-885	MERGE	txn1	228	228	"4"	"4"
virtual-890	MERGE	txn1	228	228	"5"	"5"
virtual-881	SELECT	txn2	231
virtual-889	SELECT	txn2	231
virtual-892	MERGE	txn2	231	231	"6"	"6"
virtual-887	MERGE	txn2	231	231	"3"	"3"
virtual-881	SELECT	txn2	231
virtual-891	MERGE	txn2	231	231	"5"	"5"
virtual-888	SELECT	txn2	230
virtual-892	SELECT	txn2	231
virtual-888	MERGE	txn2	231	231	"4"	"4"
virtual-893	MERGE	txn0	232	232	"1"	"1"
virtual-895	SELECT	txn2	231
virtual-895	MERGE	txn0	232	232	"4"	"4"
virtual-894	SELECT	txn0	232
virtual-893	MERGE	txn2	231	231	"7"	"7"
virtual-892	MERGE	txn2	221	221	"6"	"6"
virtual-897	MERGE	txn2	231	231	"8"	"8"
virtual-896	SELECT	txn2	231
virtual-894	MERGE	txn0	232	232	"3"	"3"
virtual-896	SELECT	txn2	221
virtual-892	SELECT	txn2	231
virtual-898	SELECT	txn0	233
virtual-895	SELECT	txn0	232
virtual-896	SELECT	txn2	231
virtual-896	SELECT	txn2	231
virtual-900	MERGE	txn2	221	221	"7"	"7"
virtual-902	MERGE	txn0	232	232	"7"	"7"
virtual-902	SELECT	txn0	233
virtual-899	SELECT	txn1	204
virtual-898	MERGE	txn0	232	232	"5"	"5"
virtual-901	MERGE	txn2	221	221	"8"	"8"
virtual-902	SELECT	txn0	233
virtual-899	SELECT	txn0	233
virtual-900	MERGE	txn0	232	232	"6"	"6"
virtual-899	SELECT	txn0	233
virtual-903	MERGE	txn0	233	233	"1"	"1"
virtual-899	SELECT	txn0	232
virtual-905	MERGE	txn0	233	233	"5"	"5"
virtual-902	MERGE	txn0	232	232	"8"	"8"
virtual-904	MERGE	txn0	233	233	"3"	"3"
virtual-903	MERGE	txn0	233	233	"2"	"2"
virtual-906	MERGE	txn0	233	233	"7"	"7"
virtual-904	MERGE	txn0	233	233	"4"	"4"
virtual-905	MERGE	txn1	228	228	"7"	"7"
virtual-908	SELECT	txn2	234
virtual-907	MERGE	txn2	234	234	"1"	"1"
virtual-904	SELECT	txn0	233
virtual-906	SELECT	txn2	234
virtual-909	SELECT	txn2	1
virtual-906	SELECT	txn0	233
virtual-908	SELECT	txn0	233
virtual-905	MERGE	txn0	233	233	"6"	"6"
virtual-909	SELECT	txn0	233
virtual-909	SELECT	txn2	234
virtual-904	MERGE	txn1	228	228	"6"	"6"
virtual-906	SELECT	txn0	233
virtual-905	MERGE	txn1	216	216	"6"	"6"
virtual-910	SELECT	txn0	233
virtual-911	MERGE	txn1	228	228	"8"	"8"
virtual-913	SELECT	txn0	233
virtual-908	MERGE	txn0	233	233	"8"	"8"
virtual-913	MERGE	txn2	234	234	"3"	"3"
virtual-915	SELECT	txn1	236
virtual-915	MERGE	txn1	236	236	"3"	"3"
virtual-912	SELECT	txn2	234
virtual-916	MERGE	txn1	236	236	"4"	"4"
virtual-915	MERGE	txn2	234	234	"4"	"4"
virtual-914	SELECT	txn2	234
virtual-914	SELECT	txn1	236
virtual-917	MERGE	txn2	234	234	"5"	"5"
virtual-916	SELECT	txn1	228
virtual-912	SELECT	txn0	233
virtual-916	SELECT	txn1	236
virtual-917	MERGE	txn1	236	236	"5"	"5"
virtual-918	SELECT	txn2	234
virtual-912	SELECT	txn2	234
virtual-914	MERGE	txn1	236	236	"1"	"1"
virtual-912	MERGE	txn2	234	234	"2"	"2"
virtual-916	SELECT	txn1	236
virtual-917	MERGE	txn1	236	236	"6"	"6"
virtual-914	MERGE	txn1	236	236	"2"	"2"
virtual-918	SELECT	txn2	234
virtual-921	MERGE	txn2	234	234	"7"	"7"
virtual-917	MERGE	txn1	220	220	"2"	"2"
virtual-920	SELECT	txn2	234
virtual-919	SELECT	txn1	236
virtual-918	SELECT	txn0	237
virtual-923	MERGE	txn2	234	234	"8"	"8"
virtual-922	SELECT	txn1	236
virtual-920	MERGE	txn2	234	234	"6"	"6"
virtual-925	SELECT	txn2	234
virtual-925	MERGE	txn1	236	236	"8"	"8"
virtual-924	SELECT	txn1	236
virtual-923	SELECT	txn1	236
virtual-922	MERGE	txn1	236	236	"7"	"7"
virtual-925	SELECT	txn1	236
virtual-926	SELECT	txn0	237
virtual-924	SELECT	txn1	236
virtual-929	SELECT	txn2	235
virtual-925	MERGE	txn0	237	237	"2"	"2"
virtual-928	SELECT	txn1	236
virtual-927	SELECT	txn1	236
virtual-927	SELECT	txn0	237
virtual-924	SELECT	txn0	237
virtual-929	SELECT	txn2	235
virtual-931	MERGE	txn2	239	239	"2"	"2"
virtual-924	MERGE	txn0	237	237	"1"	"1"
virtual-930	SELECT	txn0	237
virtual-927	SELECT	txn1	236
virtual-929	SELECT	txn2	239
virtual-931	MERGE	txn2	239	239	"3"	"3"
virtual-927	SELECT	txn2	235
virtual-932	MERGE	txn2	239	239	"5"	"5"
virtual-934	SELECT	txn2	239
virtual-933	SELECT	txn2	235
virtual-934	SELECT	txn2	239
virtual-930	SELECT	txn0	237
virtual-931	MERGE	txn0	238	238	"1"	"1"
virtual-934	MERGE	txn2	239	239	"6"	"6"
virtual-935	SELECT	txn2	239
virtual-936	MERGE	txn2	239	239	"7"	"7"
virtual-930	SELECT	txn2	235
virtual-931	MERGE	txn2	239	239	"4"	"4"
virtual-936	MERGE	txn2	239	239	"8"	"8"
virtual-938	SELECT	txn2	240
virtual-930	MERGE	txn2	239	239	"1"	"1"
virtual-937	SELECT	txn2	235
virtual-940	MERGE	txn2	240	240	"1"	"1"
virtual-936	MERGE	txn2	235	235	"1"	"1"
virtual-941	MERGE	txn2	235	235	"3"	"3"
virtual-939	MERGE	txn0	238	238	"3"	"3"
virtual-937	SELECT	txn0	237
virtual-940	MERGE	txn2	240	240	"2"	"2"
virtual-939	SELECT	txn2	240
virtual-940	SELECT	txn0	238
virtual-942	SELECT	txn2	240
virtual-936	SELECT	txn0	237
virtual-937	MERGE	txn0	238	238	"2"	"2"
virtual-943	SELECT	txn2	235
virtual-944	SELECT	txn2	240
virtual-949	SELECT	txn0	238
virtual-947	SELECT	txn2	240
virtual-945	SELECT	txn2	240
virtual-947	SELECT	txn0	237
virtual-949	MERGE	txn2	240	240	"5"	"5"
virtual-946	SELECT	txn2	240
virtual-946	SELECT	txn2	240
virtual-948	MERGE	txn2	240	240	"4"	"4"
virtual-945	SELECT	txn2	240
virtual-950	SELECT	txn1	216
virtual-945	MERGE	txn0	238	238	"4"	"4"
virtual-950	MERGE	txn0	238	238	"6"	"6"
virtual-947	MERGE	txn0	238	238	"5"	"5"
virtual-951	SELECT	txn2	240
virtual-952	SELECT	txn2	240
virtual-948	SELECT	txn2	240
virtual-952	MERGE	txn0	237	237	"3"	"3"
virtual-946	MERGE	txn2	240	240	"3"	"3"
virtual-951	SELECT	txn2	240
virtual-955	MERGE	txn2	241	241	"1"	"1"
virtual-952	MERGE	txn2	240	240	"7"	"7"
virtual-953	MERGE	txn0	238	238	"8"	"8"
virtual-954	MERGE	txn0	237	237	"5"	"5"
virtual-955	SELECT	txn2	241
virtual-955	SELECT	txn1	242
virtual-953	MERGE	txn0	237	237	"4"	"4"
virtual-957	MERGE	txn1	242	242	"1"	"1"
virtual-956	SELECT	txn1	204
virtual-959	MERGE	txn2	235	235	"4"	"4"
virtual-959	MERGE	txn0	237	237	"6"	"6"
virtual-958	SELECT	txn1	242
virtual-960	SELECT	txn1	242
virtual-954	SELECT	txn0	237
virtual-955	SELECT	txn1	242
virtual-954	SELECT	txn2	241
virtual-962	MERGE	txn1	242	242	"2"	"2"
virtual-961	SELECT	txn2	241
virtual-963	MERGE	txn1	242	242	"4"	"4"
virtual-965	MERGE	txn1	242	242	"6"	"6"
virtual-962	MERGE	txn1	242	242	"3"	"3"
virtual-966	SELECT	txn1	242
virtual-961	SELECT	txn1	242
virtual-964	SELECT	txn1	216
virtual-969	SELECT	txn1	242
virtual-968	MERGE	txn2	241	241	"3"	"3"
virtual-962	SELECT	txn1	242
virtual-967	MERGE	txn2	241	241	"2"	"2"
virtual-964	SELECT	txn1	242
virtual-970	SELECT	txn2	241
virtual-969	MERGE	txn2	241	241	"4"	"4"
virtual-964	MERGE	txn0	237	237	"7"	"7"
virtual-968	SELECT	txn0	237
virtual-970	SELECT	txn1	242
virtual-971	SELECT	txn0	243
virtual-970	SELECT	txn1	242
virtual-971	MERGE	txn2	235	235	"5"	"5"
virtual-968	SELECT	txn1	216
virtual-970	MERGE	txn0	243	243	"1"	"1"
virtual-972	MERGE	txn2	241	241	"5"	"5"
virtual-964	MERGE	txn1	242	242	"5"	"5"
virtual-973	MERGE	txn0	244	244	"1"	"1"
virtual-971	SELECT	txn1	242
virtual-974	SELECT	txn1	204
virtual-972	SELECT	txn2	235
virtual-972	MERGE	txn1	242	242	"8"	"8"
virtual-975	MERGE	txn0	244	244	"2"	"2"
virtual-972	SELECT	txn1	242
virtual-976	MERGE	txn2	241	241	"7"	"7"
virtual-973	SELECT	txn0	244
virtual-975	MERGE	txn0	244	244	"3"	"3"
virtual-977	MERGE	txn0	244	244	"5"	"5"
virtual-975	MERGE	txn0	244	244	"4"	"4"
virtual-973	SELECT	txn2	235
virtual-979	MERGE	txn2	241	241	"8"	"8"
virtual-978	SELECT	txn0	243
virtual-980	SELECT	txn2	245
virtual-979	MERGE	txn0	244	244	"7"	"7"
virtual-978	SELECT	txn0	244
virtual-975	MERGE	txn2	241	241	"6"	"6"
virtual-978	MERGE	txn0	244	244	"6"	"6"
virtual-981	SELECT	txn2	245
virtual-979	MERGE	txn0	244	244	"8"	"8"
virtual-980	SELECT	txn2	245
virtual-981	MERGE	txn2	245	245	"1"	"1"
virtual-980	SELECT	txn2	245
virtual-983	SELECT	txn2	245
virtual-982	SELECT	txn2	245
virtual-981	SELECT	txn0	243
virtual-984	SELECT	txn2	235
virtual-979	SELECT	txn0	243
virtual-984	MERGE	txn2	245	245	"3"	"3"
virtual-982	SELECT	txn2	241
virtual-983	MERGE	txn2	245	245	"2"	"2"
virtual-982	SELECT	txn2	245
virtual-986	SELECT	txn2	245
virtual-985	MERGE	txn2	245	245	"4"	"4"
virtual-982	MERGE	txn0	246	246	"1"	"1"
virtual-986	SELECT	txn2	235
virtual-986	SELECT	txn0	246
virtual-987	MERGE	txn1	216	216	"7"	"7"
virtual-987	MERGE	txn2	245	245	"5"	"5"
virtual-988	MERGE	txn2	245	245	"6"	"6"
virtual-986	SELECT	txn2	245
virtual-989	MERGE	txn0	246	246	"2"	"2"
virtual-990	SELECT	txn2	245
virtual-990	SELECT	txn2	235
virtual-991	MERGE	txn2	245	245	"7"	"7"
virtual-990	SELECT	txn2	245
virtual-994	MERGE	txn2	248	248	"3"	"3"
virtual-989	SELECT	txn2	245
virtual-992	SELECT	txn2	248
virtual-991	SELECT	txn2	245
virtual-993	MERGE	txn0	246	246	"3"	"3"
virtual-994	SELECT	txn0	246
virtual-992	MERGE	txn2	248	248	"1"	"1"
virtual-996	MERGE	txn2	248	248	"5"	"5"
virtual-995	MERGE	txn0	243	243	"2"	"2"
virtual-991	MERGE	txn2	245	245	"8"	"8"
virtual-992	MERGE	txn2	248	248	"2"	"2"
virtual-996	MERGE	txn0	243	243	"3"	"3"
virtual-994	MERGE	txn2	248	248	"4"	"4"
virtual-997	SELECT	txn2	248
virtual-991	SELECT	txn2	245
virtual-997	MERGE	txn0	243	243	"4"	"4"
virtual-1001	SELECT	txn0	243
virtual-1000	MERGE	txn0	246	246	"4"	"4"
virtual-998	SELECT	txn0	243
virtual-1001	SELECT	txn0	246
virtual-999	SELECT	txn0	246
virtual-1001	MERGE	txn2	248	248	"7"	"7"
